id,state_abbr,name,title,org,category,influence,stage,email,phone,tags,notes,next_action,next_action_date
seed-ak-chief,AK,Ryan Anderson,Commissioner,Alaska Department of Transportation and Public Facilities,State DOT Leadership,High,New,,(907) 465-3900,agency-chief;aashto-verified,Verified via AASHTO Board of Directors roster. Route contact through agency main line or https://dot.alaska.gov.,,
seed-al-chief,AL,John Cooper,Director,Alabama Department of Transportation,State DOT Leadership,High,New,,(334) 242-6311,agency-chief;aashto-verified,Verified via AASHTO Board of Directors roster. Route contact through agency main line or https://www.dot.state.al.us.,,
seed-ar-chief,AR,Jared Wiley,Director,Arkansas Department of Transportation,State DOT Leadership,High,New,,(501) 569-2000,agency-chief;aashto-verified,Verified via AASHTO Board of Directors roster. Route contact through agency main line or https://www.ardot.gov.,,
seed-az-chief,AZ,Jennifer Toth,Director,Arizona Department of Transportation,State DOT Leadership,High,New,,(602) 712-7355,agency-chief;aashto-verified,Verified via AASHTO Board of Directors roster. Route contact through agency main line or https://azdot.gov.,,
seed-ca-chief,CA,Dina El-Tawansy,Director,California Department of Transportation (Caltrans),State DOT Leadership,High,New,,(916) 654-2852,agency-chief;aashto-verified,Verified via AASHTO Board of Directors roster. Route contact through agency main line or https://dot.ca.gov.,,
seed-co-chief,CO,Shoshana Lew,Executive Director,Colorado Department of Transportation,State DOT Leadership,High,New,,(303) 757-9011,agency-chief;aashto-verified,Verified via AASHTO Board of Directors roster. Route contact through agency main line or https://www.codot.gov.,,
seed-ct-chief,CT,Garrett Eucalitto,Commissioner,Connecticut Department of Transportation,State DOT Leadership,High,New,,(860) 594-2000,agency-chief;aashto-verified,Verified via AASHTO Board of Directors roster. Route contact through agency main line or https://portal.ct.gov/dot.,,
seed-de-chief,DE,Shante Hastings,Secretary,Delaware Department of Transportation,State DOT Leadership,High,New,,(302) 760-2080,agency-chief;aashto-verified,Verified via AASHTO Board of Directors roster. Route contact through agency main line or https://deldot.gov.,,
seed-fl-chief,FL,Jared Perdue,Secretary,Florida Department of Transportation,State DOT Leadership,High,New,,(850) 414-4100,agency-chief;aashto-verified,Verified via AASHTO Board of Directors roster. Route contact through agency main line or https://www.fdot.gov.,,
seed-ga-chief,GA,"Russell McMurry, P.E.",Commissioner,Georgia Department of Transportation,State DOT Leadership,High,New,,(404) 631-1000,agency-chief;aashto-verified,Verified via AASHTO Board of Directors roster. Route contact through agency main line or https://www.dot.ga.gov.,,
seed-hi-chief,HI,Edwin Sniffen,Director,Hawaii Department of Transportation,State DOT Leadership,High,New,,(808) 587-2150,agency-chief;aashto-verified,Verified via AASHTO Board of Directors roster. Route contact through agency main line or https://hidot.hawaii.gov.,,
seed-ia-chief,IA,Scott Marler,Director,Iowa Department of Transportation,State DOT Leadership,High,New,,(515) 239-1101,agency-chief;aashto-verified,Verified via AASHTO Board of Directors roster. Route contact through agency main line or https://iowadot.gov.,,
seed-id-chief,ID,Scott Stokes,Director,Idaho Transportation Department,State DOT Leadership,High,New,,(208) 334-8000,agency-chief;aashto-verified,Verified via AASHTO Board of Directors roster. Route contact through agency main line or https://itd.idaho.gov.,,
seed-il-chief,IL,Gia Biagi,Secretary,Illinois Department of Transportation,State DOT Leadership,High,New,,(217) 782-7820,agency-chief;aashto-verified,Verified via AASHTO Board of Directors roster. Route contact through agency main line or https://idot.illinois.gov.,,
seed-in-chief,IN,Lyndsay Quist,Commissioner,Indiana Department of Transportation,State DOT Leadership,High,New,,(317) 232-5533,agency-chief;aashto-verified,Verified via AASHTO Board of Directors roster. Route contact through agency main line or https://www.in.gov/indot.,,
seed-ks-chief,KS,Calvin Reed,Secretary,Kansas Department of Transportation,State DOT Leadership,High,New,,(785) 296-3566,agency-chief;aashto-verified,Verified via AASHTO Board of Directors roster. Route contact through agency main line or https://www.ksdot.gov.,,
seed-ky-chief,KY,Rebecca Goodman,Secretary,Kentucky Transportation Cabinet,State DOT Leadership,High,New,,(502) 564-4890,agency-chief;aashto-verified,Verified via AASHTO Board of Directors roster. Route contact through agency main line or https://transportation.ky.gov.,,
seed-la-chief,LA,Glenn Ledet,Secretary,Louisiana Department of Transportation and Development,State DOT Leadership,High,New,,(225) 379-1232,agency-chief;aashto-verified,Verified via AASHTO Board of Directors roster. Route contact through agency main line or https://wwwsp.dotd.la.gov.,,
seed-ma-chief,MA,Phillip Eng,Secretary & CEO,Massachusetts Department of Transportation,State DOT Leadership,High,New,,(857) 368-4636,agency-chief;aashto-verified,Verified via AASHTO Board of Directors roster. Route contact through agency main line or https://www.mass.gov/orgs/massachusetts-department-of-transportation.,,
seed-md-chief,MD,Kathryn Thomson,Acting Secretary,Maryland Department of Transportation,State DOT Leadership,High,New,,(410) 865-1000,agency-chief;aashto-verified,Verified via AASHTO Board of Directors roster. Route contact through agency main line or https://www.mdot.maryland.gov.,,
seed-me-chief,ME,Dale Doughty,Commissioner,Maine Department of Transportation,State DOT Leadership,High,New,,(207) 624-3000,agency-chief;aashto-verified,Verified via AASHTO Board of Directors roster. Route contact through agency main line or https://www.maine.gov/mdot.,,
seed-mi-chief,MI,Bradley Wieferich,Director,Michigan Department of Transportation,State DOT Leadership,High,New,,(517) 241-2400,agency-chief;aashto-verified,Verified via AASHTO Board of Directors roster. Route contact through agency main line or https://www.michigan.gov/mdot.,,
seed-mn-chief,MN,Nancy Daubenberger,Commissioner,Minnesota Department of Transportation,State DOT Leadership,High,New,,(651) 296-3000,agency-chief;aashto-verified,Verified via AASHTO Board of Directors roster. Route contact through agency main line or https://www.dot.state.mn.us.,,
seed-mo-chief,MO,Ed Hassinger,Director,Missouri Department of Transportation,State DOT Leadership,High,New,,(573) 751-2551,agency-chief;aashto-verified,Verified via AASHTO Board of Directors roster. Route contact through agency main line or https://www.modot.org.,,
seed-ms-chief,MS,Brad White,Executive Director,Mississippi Department of Transportation,State DOT Leadership,High,New,,(601) 359-7001,agency-chief;aashto-verified,Verified via AASHTO Board of Directors roster. Route contact through agency main line or https://mdot.ms.gov.,,
seed-mt-chief,MT,Christopher Dorrington,Director,Montana Department of Transportation,State DOT Leadership,High,New,,(406) 444-6200,agency-chief;aashto-verified,Verified via AASHTO Board of Directors roster. Route contact through agency main line or https://www.mdt.mt.gov.,,
seed-nc-chief,NC,Daniel Johnson,Secretary,North Carolina Department of Transportation,State DOT Leadership,High,New,,(919) 707-2800,agency-chief;aashto-verified,Verified via AASHTO Board of Directors roster. Route contact through agency main line or https://www.ncdot.gov.,,
seed-nd-chief,ND,Ronald Henke,Director,North Dakota Department of Transportation,State DOT Leadership,High,New,,(701) 328-2500,agency-chief;aashto-verified,Verified via AASHTO Board of Directors roster. Route contact through agency main line or https://www.dot.nd.gov.,,
seed-ne-chief,NE,Vicki Kramer,Director,Nebraska Department of Transportation,State DOT Leadership,High,New,,(402) 471-4567,agency-chief;aashto-verified,Verified via AASHTO Board of Directors roster. Route contact through agency main line or https://dot.nebraska.gov.,,
seed-nh-chief,NH,David Rodrigue,Acting Commissioner,New Hampshire Department of Transportation,State DOT Leadership,High,New,,(603) 271-3734,agency-chief;aashto-verified,Verified via AASHTO Board of Directors roster. Route contact through agency main line or https://www.dot.nh.gov.,,
seed-nj-chief,NJ,Priya Jain,Acting Commissioner,New Jersey Department of Transportation,State DOT Leadership,High,New,,(609) 963-1990,agency-chief;aashto-verified,Verified via AASHTO Board of Directors roster. Route contact through agency main line or https://www.nj.gov/transportation.,,
seed-nm-chief,NM,David Quintana,Cabinet Secretary,New Mexico Department of Transportation,State DOT Leadership,High,New,,(505) 827-5100,agency-chief;aashto-verified,Verified via AASHTO Board of Directors roster. Route contact through agency main line or https://www.dot.nm.gov.,,
seed-nv-chief,NV,Tracy Larkin Thomason,Director,Nevada Department of Transportation,State DOT Leadership,High,New,,(775) 888-7000,agency-chief;aashto-verified,Verified via AASHTO Board of Directors roster. Route contact through agency main line or https://www.dot.nv.gov.,,
seed-ny-chief,NY,Marie Therese Dominguez,Commissioner,New York State Department of Transportation,State DOT Leadership,High,New,,(518) 457-6195,agency-chief;aashto-verified,Verified via AASHTO Board of Directors roster. Route contact through agency main line or https://www.dot.ny.gov.,,
seed-oh-chief,OH,Pamela Vest-Boratyn,Director,Ohio Department of Transportation,State DOT Leadership,High,New,,(614) 466-7170,agency-chief;aashto-verified,Verified via AASHTO Board of Directors roster. Route contact through agency main line or https://www.transportation.ohio.gov.,,
seed-ok-chief,OK,Tim Gatz,Executive Director,Oklahoma Department of Transportation,State DOT Leadership,High,New,,(405) 522-8000,agency-chief;aashto-verified,Verified via AASHTO Board of Directors roster. Route contact through agency main line or https://oklahoma.gov/odot.,,
seed-or-chief,OR,Lisa Sumption,Director,Oregon Department of Transportation,State DOT Leadership,High,New,,(503) 986-3200,agency-chief;aashto-verified,Verified via AASHTO Board of Directors roster. Route contact through agency main line or https://www.oregon.gov/odot.,,
seed-pa-chief,PA,Michael Carroll,Secretary,Pennsylvania Department of Transportation,State DOT Leadership,High,New,,(717) 787-2838,agency-chief;aashto-verified,Verified via AASHTO Board of Directors roster. Route contact through agency main line or https://www.pa.gov/agencies/penndot.,,
seed-ri-chief,RI,Robert Rocchio,Director,Rhode Island Department of Transportation,State DOT Leadership,High,New,,(401) 222-2450,agency-chief;aashto-verified,Verified via AASHTO Board of Directors roster. Route contact through agency main line or https://www.dot.ri.gov.,,
seed-sc-chief,SC,Justin Powell,Secretary,South Carolina Department of Transportation,State DOT Leadership,High,New,,(803) 737-2314,agency-chief;aashto-verified,Verified via AASHTO Board of Directors roster. Route contact through agency main line or https://www.scdot.org.,,
seed-sd-chief,SD,Joel Jundt,Secretary,South Dakota Department of Transportation,State DOT Leadership,High,New,,(605) 773-3265,agency-chief;aashto-verified,Verified via AASHTO Board of Directors roster. Route contact through agency main line or https://dot.sd.gov.,,
seed-tn-chief,TN,Will Reid,Commissioner,Tennessee Department of Transportation,State DOT Leadership,High,New,,(615) 741-2848,agency-chief;aashto-verified,Verified via AASHTO Board of Directors roster. Route contact through agency main line or https://www.tn.gov/tdot.,,
seed-tx-chief,TX,"Marc Williams, P.E.",Executive Director,Texas Department of Transportation,State DOT Leadership,High,New,,(512) 463-8585,agency-chief;aashto-verified,Verified via AASHTO Board of Directors roster. Route contact through agency main line or https://www.txdot.gov.,,
seed-ut-chief,UT,"Carlos Braceras, P.E.",Executive Director,Utah Department of Transportation,State DOT Leadership,High,New,,(801) 965-4000,agency-chief;aashto-verified,Verified via AASHTO Board of Directors roster. Route contact through agency main line or https://www.udot.utah.gov.,,
seed-va-chief,VA,Nick Donohue,Commissioner,Virginia Department of Transportation,State DOT Leadership,High,New,,(804) 786-2701,agency-chief;aashto-verified,Verified via AASHTO Board of Directors roster. Route contact through agency main line or https://www.virginiadot.org.,,
seed-vt-chief,VT,Joe Flynn,Secretary,Vermont Agency of Transportation,State DOT Leadership,High,New,,(802) 828-2657,agency-chief;aashto-verified,Verified via AASHTO Board of Directors roster. Route contact through agency main line or https://vtrans.vermont.gov.,,
seed-wa-chief,WA,Julie Meredith,Secretary,Washington State Department of Transportation,State DOT Leadership,High,New,,(360) 705-7000,agency-chief;aashto-verified,Verified via AASHTO Board of Directors roster. Route contact through agency main line or https://wsdot.wa.gov.,,
seed-wi-chief,WI,Kristina Boardman,Secretary,Wisconsin Department of Transportation,State DOT Leadership,High,New,,(608) 266-2114,agency-chief;aashto-verified,Verified via AASHTO Board of Directors roster. Route contact through agency main line or https://wisconsindot.gov.,,
seed-wv-chief,WV,Stephen Rumbaugh,Secretary,West Virginia Department of Transportation,State DOT Leadership,High,New,,(304) 558-3505,agency-chief;aashto-verified,Verified via AASHTO Board of Directors roster. Route contact through agency main line or https://transportation.wv.gov.,,
seed-wy-chief,WY,Darin Westby,Director,Wyoming Department of Transportation,State DOT Leadership,High,New,,(307) 777-4375,agency-chief;aashto-verified,Verified via AASHTO Board of Directors roster. Route contact through agency main line or https://www.dot.state.wy.us.,,
